Best Performance by an Actor in a Supporting Role in any Motion Picture,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Best Performance by an Actress in a Supporting Role in any Motion Picture
"['Mystic River', 'Cooler, The', 'Big Fish', 'Seabiscuit', 'Shattered Glass', 'The Last Samurai']","[""Something's Gotta Give"", 'Freaky Friday (2003)', 'Lost in Translation', 'Under The Tuscan Sun', 'Calendar Girls']","['Lost in Translation', 'School of Rock, The', 'Pirates of the Caribbean: The Curse of the Black Pearl', ""Something's Gotta Give"", 'Bad Santa']","['Cold Mountain', 'American Splendor', 'Thirteen', 'Cooler, The', 'Pieces of April']"
,,,
"['Closer', 'Kill Bill (Vol. 2)', 'Sideways', 'Collateral', 'Million Dollar Baby']","['Being Julia', 'De-Lovely', 'Bridget Jones: The Edge Of Reason', 'Eternal Sunshine of The Spotless Mind', 'The Phantom of the Opera']","['Ray', 'Eternal Sunshine of The Spotless Mind', 'Sideways', 'De-Lovely', 'Beyond the Sea']","['Closer', 'Kinsey', 'Sideways', 'Manchurian Candidate (2004), The', 'The Aviator']"
,,,
"['Syriana', 'Crash', 'The Producers', 'Cinderella Man', 'Mrs. Henderson Presents']","['Walk The Line', 'Family Stone, The', 'Mrs. Henderson Presents', 'Pride & Prejudice', 'Squid and the Whale, The']","['Walk The Line', 'Matador, The', 'Squid and the Whale, The', 'Charlie and the Chocolate Factory', 'The Producers', 'Breakfast On Pluto']","['Constant Gardener, The', 'Brokeback Mountain', 'Match Point', 'In Her Shoes', 'North Country']"
,,,
"['Dreamgirls', 'Departed, The', 'Babel', 'Departed, The', 'Hollywoodland']","['Devil Wears Prada, The', 'Running With Scissors', 'Little Miss Sunshine', 'Dreamgirls', 'Miss Potter']","['Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan', ""Pirates of the Caribbean: Dead Man's Chest"", 'Thank You For Smoking', 'Kinky Boots', 'Stranger Than Fiction']","['Dreamgirls', 'Babel', 'Notes on a Scandal', 'Devil Wears Prada, The', 'Babel']"
,,,
"['No Country for Old Men', 'Assassination of Jesse James by the Coward Robert Ford, The', ""Charlie Wilson's War"", 'Hairspray', 'Michael Clayton']","['La Vie En Rose', 'Hairspray', 'Enchanted', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Juno']","['Sweeney Todd: The Demon Barber of Fleet Street', 'Lars and the Real Girl', ""Charlie Wilson's War"", 'Savages, The', 'Walk Hard: The Dewey Cox Story']","[""I'm Not There"", ""Charlie Wilson's War"", 'Atonement', 'Gone Baby Gone', 'Michael Clayton']"
,,,
"['Dark Knight, The', 'Tropic Thunder', 'Tropic Thunder', 'Duchess, The', 'Doubt']","['Happy-Go-Lucky', 'Vicky Cristina Barcelona', 'Burn After Reading', 'Mamma Mia!', 'Last Chance Harvey']","['In Bruges', 'Vicky Cristina Barcelona', 'Pineapple Express', 'In Bruges', 'Last Chance Harvey']","['Reader, The', 'Vicky Cristina Barcelona', 'Doubt', 'The Wrestler', 'Doubt']"
,,,
