Documentary (Feature),Art Direction,Sound Mixing,Foreign Language Film,Makeup and Hairstyling,Music (Original Score),Sound,Special Achievement Award,Writing (Adapted Screenplay),Jean Hersholt Humanitarian Award,Visual Effects,Actress in a Supporting Role,Writing (Screenplay Based on Material from Another Medium),Best Picture,Sound Editing,Writing (Original Screenplay),Short Film (Live Action),Animated Feature Film,Costume Design,Short Film (Animated),Directing,Production Design,Documentary (Short Subject),Cinematography,Actor in a Supporting Role,Writing (Screenplay Based on Material Previously Produced or Published),Music (Original Dramatic Score),Actress in a Leading Role,Film Editing,Irving G. Thalberg Memorial Award,Music (Original Song),Sound Effects Editing,Music (Original Musical or Comedy Score),Special Achievement Award (Visual Effects),Writing (Screenplay Written Directly for the Screen),Actor in a Leading Role,Makeup
"['One Day in September', 'Buena Vista Social Club', 'Genghis Blues', 'On the Ropes', 'Speaking in Strings']","['Sleepy Hollow', 'Anna and the King', 'The Cider House Rules', 'The Talented Mr. Ripley', 'Topsy-Turvy']",,"['All about My Mother', 'Caravan', 'East-West', 'Solomon and Gaenor', 'Under the Sun']",,"['The Red Violin', 'American Beauty', ""Angela's Ashes"", 'The Cider House Rules', 'The Talented Mr. Ripley']","['The Matrix', 'The Green Mile', 'The Insider', 'The Mummy', 'Star Wars Episode I: The Phantom Menace']",,,,"['The Matrix', 'Star Wars Episode I: The Phantom Menace', 'Stuart Little']","['Girl, Interrupted', 'The Sixth Sense', 'Being John Malkovich', 'Sweet and Lowdown', ""Boys Don't Cry""]",,"['American Beauty', 'The Cider House Rules', 'The Green Mile', 'The Insider', 'The Sixth Sense']",,,"[""My Mother Dreams the Satan's Disciples in New York"", 'Bror, Min Bror (Teis and Nico)', 'Killing Joe', 'Kleingeld (Small Change)', 'Major and Minor Miracles']",,"['Topsy-Turvy', 'Anna and the King', 'Sleepy Hollow', 'The Talented Mr. Ripley', 'Titus']","['The Old Man and the Sea', 'Humdrum', ""My Grandmother Ironed the King's Shirts"", '3 Misses', 'When the Day Breaks']","['American Beauty', 'Being John Malkovich', 'The Cider House Rules', 'The Insider', 'The Sixth Sense']",,"['King Gimp', 'Eyewitness', 'The Wildest Show in the South: The Angola Prison Rodeo']","['American Beauty', 'The End of the Affair', 'The Insider', 'Sleepy Hollow', 'Snow Falling on Cedars']","['The Cider House Rules', 'Magnolia', 'The Green Mile', 'The Talented Mr. Ripley', 'The Sixth Sense']","['The Cider House Rules', 'Election', 'The Green Mile', 'The Insider', 'The Talented Mr. Ripley']",,"[""Boys Don't Cry"", 'American Beauty', 'Tumbleweeds', 'The End of the Affair', 'Music of the Heart']","['The Matrix', 'American Beauty', 'The Cider House Rules', 'The Insider', 'The Sixth Sense']",[''],"['Tarzan', 'South Park: Bigger, Longer & Uncut', 'Music of the Heart', 'Magnolia', 'Toy Story 2']","['The Matrix', 'Fight Club', 'Star Wars Episode I: The Phantom Menace']",,,"['American Beauty', 'Being John Malkovich', 'Magnolia', 'The Sixth Sense', 'Topsy-Turvy']","['American Beauty', 'The Insider', 'The Straight Story', 'Sweet and Lowdown', 'The Hurricane']","['Topsy-Turvy', 'Austin Powers: The Spy Who Shagged Me', 'Bicentennial Man', 'Life']"
"['Into the Arms of Strangers: Stories of the Kindertransport', 'Legacy', ""Long Night's Journey into Day"", 'Scottsboro: An American Tragedy', 'Sound and Fury']","['Crouching Tiger, Hidden Dragon', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Gladiator', 'Quills', 'Vatel']",,"['Crouching Tiger, Hidden Dragon', 'Amores Perros', 'Divided We Fall', 'Everybody Famous!', 'The Taste of Others']",,"['Crouching Tiger, Hidden Dragon', 'Chocolat', 'Gladiator', '', 'The Patriot']","['Gladiator', 'Cast Away', 'The Patriot', 'The Perfect Storm', 'U-571']",,,,"['Gladiator', 'Hollow Man', 'The Perfect Storm']","['Pollock', 'Chocolat', 'Almost Famous', 'Almost Famous', 'Billy Elliot']",,"['Gladiator', 'Chocolat', 'Crouching Tiger, Hidden Dragon', 'Erin Brockovich', 'Traffic']","['U-571', 'Space Cowboys']",,"['Quiero Ser (I want to be...)', 'By Courier', 'One Day Crossing', 'Seraglio', 'A Soccer Story (Uma Historia de Futebol)']",,"['Gladiator', 'Crouching Tiger, Hidden Dragon', ""Dr. Seuss' How the Grinch Stole Christmas"", '102 Dalmatians', 'Quills']","['Father and Daughter', 'The Periwig-Maker', 'Rejected']","['Traffic', 'Billy Elliot', 'Crouching Tiger, Hidden Dragon', 'Erin Brockovich', 'Gladiator']",,"['Big Mama', 'Curtain Call', 'Dolphins', ""The Man on Lincoln's Nose"", 'On Tiptoe: Gentle Steps to Freedom']","['Crouching Tiger, Hidden Dragon', 'Gladiator', '', 'O Brother, Where Art Thou?', 'The Patriot']","['Traffic', 'The Contender', 'Shadow of the Vampire', 'Erin Brockovich', 'Gladiator']","['Traffic', 'Chocolat', 'Crouching Tiger, Hidden Dragon', 'O Brother, Where Art Thou?', 'Wonder Boys']",,"['Erin Brockovich', 'The Contender', 'Chocolat', 'Requiem for a Dream', 'You Can Count on Me']","['Traffic', 'Almost Famous', 'Crouching Tiger, Hidden Dragon', 'Gladiator', 'Wonder Boys']",[''],"['Wonder Boys', 'Meet the Parents', 'Dancer in the Dark', 'Crouching Tiger, Hidden Dragon', ""The Emperor's New Groove""]",,,,"['Almost Famous', 'Billy Elliot', 'Erin Brockovich', 'Gladiator', 'You Can Count on Me']","['Gladiator', 'Before Night Falls', 'Cast Away', 'Pollock', 'Quills']","[""Dr. Seuss' How the Grinch Stole Christmas"", 'The Cell', 'Shadow of the Vampire']"
"['Murder on a Sunday Morning', 'Children Underground', ""LaLee's Kin: The Legacy of Cotton"", 'Promises', 'War Photographer']","['Moulin Rouge', 'Amélie', 'Gosford Park', ""Harry Potter and the Sorcerer's Stone"", 'The Lord of the Rings: The Fellowship of the Ring']",,"[""No Man's Land"", 'Amélie', 'Elling', 'Lagaan', 'Son of the Bride']",,"['The Lord of the Rings: The Fellowship of the Ring', 'A.I. Artificial Intelligence', 'A Beautiful Mind', ""Harry Potter and the Sorcerer's Stone"", 'Monsters, Inc.']","['Black Hawk Down', 'Amélie', 'The Lord of the Rings: The Fellowship of the Ring', 'Moulin Rouge', 'Pearl Harbor']",,,[''],"['The Lord of the Rings: The Fellowship of the Ring', 'A.I. Artificial Intelligence', 'Pearl Harbor']","['A Beautiful Mind', 'Gosford Park', 'Gosford Park', 'In the Bedroom', 'Iris']",,"['A Beautiful Mind', 'Gosford Park', 'In the Bedroom', 'The Lord of the Rings: The Fellowship of the Ring', 'Moulin Rouge']","['Pearl Harbor', 'Monsters, Inc.']",,"['the accountant', 'Copy Shop', ""Gregor's Greatest Invention"", 'A Man Thing (Meska Sprawa)', 'Speed for Thespians']","['Shrek', 'Jimmy Neutron: Boy Genius', 'Monsters, Inc.']","['Moulin Rouge', 'The Affair of the Necklace', 'Gosford Park', ""Harry Potter and the Sorcerer's Stone"", 'The Lord of the Rings: The Fellowship of the Ring']","['For the Birds', 'Fifty Percent Grey', 'Give Up Yer Aul Sins', 'Strange Invaders', 'Stubble Trouble']","['A Beautiful Mind', 'Black Hawk Down', 'Gosford Park', 'The Lord of the Rings: The Fellowship of the Ring', 'Mulholland Drive']",,"['Thoth', 'Artists and Orphans: A True Drama', 'Sing!']","['The Lord of the Rings: The Fellowship of the Ring', 'Amélie', 'Black Hawk Down', ""The Man Who Wasn't There"", 'Moulin Rouge']","['Iris', 'Training Day', 'Sexy Beast', 'The Lord of the Rings: The Fellowship of the Ring', 'Ali']","['A Beautiful Mind', 'Ghost World', 'In the Bedroom', 'The Lord of the Rings: The Fellowship of the Ring', 'Shrek']",,"[""Monster's Ball"", 'Iris', 'Moulin Rouge', 'In the Bedroom', ""Bridget Jones's Diary""]","['Black Hawk Down', 'A Beautiful Mind', 'The Lord of the Rings: The Fellowship of the Ring', 'Memento', 'Moulin Rouge']",,"['Monsters, Inc.', 'The Lord of the Rings: The Fellowship of the Ring', 'Pearl Harbor', 'Kate & Leopold', 'Vanilla Sky']",,,,"['Gosford Park', 'Amélie', 'Memento', ""Monster's Ball"", 'The Royal Tenenbaums']","['Training Day', 'A Beautiful Mind', 'I Am Sam', 'Ali', 'In the Bedroom']","['The Lord of the Rings: The Fellowship of the Ring', 'A Beautiful Mind', 'Moulin Rouge']"
"['Bowling for Columbine', 'Daughter from Danang', 'Prisoner of Paradise', 'Spellbound', 'Winged Migration']","['Chicago', 'Frida', 'Gangs of New York', 'The Lord of the Rings: The Two Towers', 'Road to Perdition']",,"['Nowhere in Africa', 'El Crimen del Padre Amaro', 'Hero', 'The Man without a Past', 'Zus & Zo']",,"['Frida', 'Catch Me If You Can', 'Far from Heaven', 'The Hours', 'Road to Perdition']","['Chicago', 'Gangs of New York', 'The Lord of the Rings: The Two Towers', 'Road to Perdition', 'Spider-Man']",,"['The Pianist', 'About a Boy', 'Adaptation', 'Chicago', 'The Hours']",,"['The Lord of the Rings: The Two Towers', 'Spider-Man', 'Star Wars Episode II Attack of the Clones']","['Chicago', 'About Schmidt', 'The Hours', 'Chicago', 'Adaptation']",,"['Chicago', 'Gangs of New York', 'The Hours', 'The Lord of the Rings: The Two Towers', 'The Pianist']","['The Lord of the Rings: The Two Towers', 'Minority Report', 'Road to Perdition']","['Talk to Her', 'Far from Heaven', 'Gangs of New York', 'My Big Fat Greek Wedding', 'Y Tu Mamá También']","['This Charming Man (Der Er En Yndig Mand)', ""Fait D'Hiver"", ""I'll Wait for the Next One... (J'Attendrai Le Suivant...)"", 'Inja (Dog)', 'Johnny Flynton']","['Spirited Away', 'Ice Age', 'Lilo & Stitch', 'Spirit: Stallion of the Cimarron', 'Treasure Planet']","['Chicago', 'Frida', 'Gangs of New York', 'The Hours', 'The Pianist']","['The ChubbChubbs!', 'The Cathedral', 'Das Rad', ""Mike's New Car"", 'Mt. Head']","['The Pianist', 'Chicago', 'Gangs of New York', 'The Hours', 'Talk to Her']",,"['Twin Towers', 'The Collector of Bedford Street', 'Mighty Times: The Legacy of Rosa Parks', ""Why Can't We Be a Family Again?""]","['Road to Perdition', 'Chicago', 'Far from Heaven', 'Gangs of New York', 'The Pianist']","['Adaptation', 'The Hours', 'Road to Perdition', 'Chicago', 'Catch Me If You Can']",,,"['The Hours', 'Frida', 'Unfaithful', 'Far from Heaven', 'Chicago']","['Chicago', 'Gangs of New York', 'The Hours', 'The Lord of the Rings: The Two Towers', 'The Pianist']",,"['8 Mile', 'Frida', 'The Wild Thornberrys Movie', 'Gangs of New York', 'Chicago']",,,,,"['The Pianist', 'Adaptation', 'The Quiet American', 'Gangs of New York', 'About Schmidt']","['Frida', 'The Time Machine']"
"['The Fog of War', 'Balseros', 'Capturing the Friedmans', 'My Architect', 'The Weather Underground']","['The Lord of the Rings: The Return of the King', 'Girl with a Pearl Earring', 'The Last Samurai', 'Master and Commander: The Far Side of the World', 'Seabiscuit']","['The Lord of the Rings: The Return of the King', 'The Last Samurai', 'Master and Commander: The Far Side of the World', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Seabiscuit']","['The Barbarian Invasions', 'Evil', 'The Twilight Samurai', 'Twin Sisters', 'Zelary']",,"['The Lord of the Rings: The Return of the King', 'Big Fish', 'Cold Mountain', 'Finding Nemo', 'House of Sand and Fog']",,,"['The Lord of the Rings: The Return of the King', 'American Splendor', 'City of God', 'Mystic River', 'Seabiscuit']",,"['The Lord of the Rings: The Return of the King', 'Master and Commander: The Far Side of the World', 'Pirates of the Caribbean: The Curse of the Black Pearl']","['Cold Mountain', 'House of Sand and Fog', 'Pieces of April', 'Mystic River', 'Thirteen']",,"['The Lord of the Rings: The Return of the King', 'Lost in Translation', 'Master and Commander: The Far Side of the World', 'Mystic River', 'Seabiscuit']","['Master and Commander: The Far Side of the World', 'Finding Nemo', 'Pirates of the Caribbean: The Curse of the Black Pearl']","['Lost in Translation', 'The Barbarian Invasions', 'Dirty Pretty Things', 'Finding Nemo', 'In America']","['Two Soldiers', 'Die Rote Jacke (The Red Jacket)', 'Most (The Bridge)', 'Squash', '(A) Torzija [(A) Torsion]']","['Finding Nemo', 'Brother Bear', 'The Triplets of Belleville']","['The Lord of the Rings: The Return of the King', 'Girl with a Pearl Earring', 'The Last Samurai', 'Master and Commander: The Far Side of the World', 'Seabiscuit']","['Harvie Krumpet', ""Boundin'"", 'Destino', 'Gone Nutty', 'Nibbles']","['The Lord of the Rings: The Return of the King', 'City of God', 'Lost in Translation', 'Master and Commander: The Far Side of the World', 'Mystic River']",,"['Chernobyl Heart', 'Asylum', 'Ferry Tales']","['Master and Commander: The Far Side of the World', 'City of God', 'Cold Mountain', 'Girl with a Pearl Earring', 'Seabiscuit']","['Mystic River', 'The Cooler', '21 Grams', 'In America', 'The Last Samurai']",,,"['Monster', 'Whale Rider', ""Something's Gotta Give"", 'In America', '21 Grams']","['The Lord of the Rings: The Return of the King', 'City of God', 'Cold Mountain', 'Master and Commander: The Far Side of the World', 'Seabiscuit']",,"['The Lord of the Rings: The Return of the King', 'The Triplets of Belleville', 'A Mighty Wind', 'Cold Mountain', 'Cold Mountain']",,,,,"['Mystic River', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'House of Sand and Fog', 'Cold Mountain', 'Lost in Translation']","['The Lord of the Rings: The Return of the King', 'Master and Commander: The Far Side of the World', 'Pirates of the Caribbean: The Curse of the Black Pearl']"
"['Born into Brothels', 'The Story of the Weeping Camel', 'Super Size Me', 'Tupac: Resurrection', 'Twist of Faith']","['The Aviator', 'Finding Neverland', ""Lemony Snicket's A Series of Unfortunate Events"", 'The Phantom of the Opera', 'A Very Long Engagement']","['Ray', 'The Aviator', 'The Incredibles', 'The Polar Express', 'Spider-Man 2']","['The Sea Inside', 'As It Is in Heaven', 'The Chorus (Les Choristes)', 'Downfall', 'Yesterday']",,"['Finding Neverland', 'Harry Potter and the Prisoner of Azkaban', ""Lemony Snicket's A Series of Unfortunate Events"", 'The Passion of the Christ', 'The Village']",,,"['Sideways', 'Before Sunset', 'Finding Neverland', 'Million Dollar Baby', 'The Motorcycle Diaries']",[''],"['Spider-Man 2', 'Harry Potter and the Prisoner of Azkaban', 'I, Robot']","['The Aviator', 'Kinsey', 'Sideways', 'Hotel Rwanda', 'Closer']",,"['Million Dollar Baby', 'The Aviator', 'Finding Neverland', 'Ray', 'Sideways']","['The Incredibles', 'The Polar Express', 'Spider-Man 2']","['Eternal Sunshine of the Spotless Mind', 'The Aviator', 'Hotel Rwanda', 'The Incredibles', 'Vera Drake']","['Wasp', 'Everything in This Country Must', 'Little Terrorist', '', 'Two Cars, One Night']","['The Incredibles', 'Shark Tale', 'Shrek 2']","['The Aviator', 'Finding Neverland', ""Lemony Snicket's A Series of Unfortunate Events"", 'Ray', 'Troy']","['Ryan', 'Birthday Boy', 'Gopher Broke', 'Guard Dog', 'Lorenzo']","['Million Dollar Baby', 'The Aviator', 'Ray', 'Sideways', 'Vera Drake']",,"[""Mighty Times: The Children's March"", 'Autism Is a World', 'The Children of Leningradsky', 'Hardwood', ""Sister Rose's Passion""]","['The Aviator', 'House of Flying Daggers', 'The Passion of the Christ', 'The Phantom of the Opera', 'A Very Long Engagement']","['Million Dollar Baby', 'The Aviator', 'Sideways', 'Collateral', 'Closer']",,,"['Million Dollar Baby', 'Being Julia', 'Maria Full of Grace', 'Vera Drake', 'Eternal Sunshine of the Spotless Mind']","['The Aviator', 'Collateral', 'Finding Neverland', 'Million Dollar Baby', 'Ray']",,"['The Motorcycle Diaries', 'Shrek 2', 'The Polar Express', 'The Phantom of the Opera', 'The Chorus (Les Choristes)']",,,,,"['Ray', 'Hotel Rwanda', 'Finding Neverland', 'The Aviator', 'Million Dollar Baby']","[""Lemony Snicket's A Series of Unfortunate Events"", 'The Passion of the Christ', 'The Sea Inside']"
"['March of the Penguins', ""Darwin's Nightmare"", 'Enron: The Smartest Guys in the Room', 'Murderball', 'Street Fight']","['Memoirs of a Geisha', 'Good Night, and Good Luck.', 'Harry Potter and the Goblet of Fire', 'King Kong', 'Pride & Prejudice']","['King Kong', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Memoirs of a Geisha', 'Walk the Line', 'War of the Worlds']","['Tsotsi', ""Don't Tell"", '', 'Paradise Now', 'Sophie Scholl - The Final Days']",,"['Brokeback Mountain', 'The Constant Gardener', 'Memoirs of a Geisha', 'Munich', 'Pride & Prejudice']",,,"['Brokeback Mountain', 'Capote', 'The Constant Gardener', 'A History of Violence', 'Munich']",,"['King Kong', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'War of the Worlds']","['The Constant Gardener', 'Junebug', 'Capote', 'North Country', 'Brokeback Mountain']",,"['Crash', 'Brokeback Mountain', 'Capote', 'Good Night, and Good Luck.', 'Munich']","['King Kong', 'Memoirs of a Geisha', 'War of the Worlds']","['Crash', 'Good Night, and Good Luck.', 'Match Point', 'The Squid and the Whale', 'Syriana']","['Six Shooter', 'Ausreisser (The Runaway)', 'Cashback', 'The Last Farm', 'Our Time Is Up']","['Wallace & Gromit in The Curse of the Were-Rabbit', ""Howl's Moving Castle"", ""Tim Burton's Corpse Bride""]","['Memoirs of a Geisha', 'Charlie and the Chocolate Factory', 'Mrs. Henderson Presents', 'Pride & Prejudice', 'Walk the Line']","['The Moon and the Son: An Imagined Conversation', 'Badgered', 'The Mysterious Geographic Explorations of Jasper Morello', '9', 'One Man Band']","['Brokeback Mountain', 'Capote', 'Crash', 'Good Night, and Good Luck.', 'Munich']",,"['A Note of Triumph: The Golden Age of Norman Corwin', 'The Death of Kevin Carter: Casualty of the Bang Bang Club', 'God Sleeps in Rwanda', 'The Mushroom Club']","['Memoirs of a Geisha', 'Batman Begins', 'Brokeback Mountain', 'Good Night, and Good Luck.', 'The New World']","['Syriana', 'Crash', 'Cinderella Man', 'Brokeback Mountain', 'A History of Violence']",,,"['Walk the Line', 'Mrs. Henderson Presents', 'Transamerica', 'Pride & Prejudice', 'North Country']","['Crash', 'Cinderella Man', 'The Constant Gardener', 'Munich', 'Walk the Line']",,"['Hustle & Flow', 'Crash', 'Transamerica']",,,,,"['Capote', 'Hustle & Flow', 'Brokeback Mountain', 'Walk the Line', 'Good Night, and Good Luck.']","['The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Cinderella Man', 'Star Wars: Episode III Revenge of the Sith']"
"['An Inconvenient Truth', 'Deliver Us from Evil', 'Iraq in Fragments', 'Jesus Camp', 'My Country, My Country']","[""Pan's Labyrinth"", 'Dreamgirls', 'The Good Shepherd', ""Pirates of the Caribbean: Dead Man's Chest"", 'The Prestige']","['Dreamgirls', 'Apocalypto', 'Blood Diamond', 'Flags of Our Fathers', ""Pirates of the Caribbean: Dead Man's Chest""]","['The Lives of Others', 'After the Wedding', 'Days of Glory (Indigènes)', ""Pan's Labyrinth"", 'Water']",,"['Babel', 'The Good German', 'Notes on a Scandal', ""Pan's Labyrinth"", 'The Queen']",,,"['The Departed', 'Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Children of Men', 'Little Children', 'Notes on a Scandal']",[''],"[""Pirates of the Caribbean: Dead Man's Chest"", 'Poseidon', 'Superman Returns']","['Dreamgirls', 'Babel', 'Notes on a Scandal', 'Little Miss Sunshine', 'Babel']",,"['The Departed', 'Babel', 'Letters from Iwo Jima', 'Little Miss Sunshine', 'The Queen']","['Letters from Iwo Jima', 'Apocalypto', 'Blood Diamond', 'Flags of Our Fathers', ""Pirates of the Caribbean: Dead Man's Chest""]","['Little Miss Sunshine', 'Babel', 'Letters from Iwo Jima', ""Pan's Labyrinth"", 'The Queen']","['West Bank Story', 'Binta and the Great Idea (Binta Y La Gran Idea)', '', 'Helmer & Son', 'The Saviour']","['Happy Feet', 'Cars', 'Monster House']","['Marie Antoinette', 'Curse of the Golden Flower', 'The Devil Wears Prada', 'Dreamgirls', 'The Queen']","['The Danish Poet', 'Lifted', 'The Little Matchgirl', 'Maestro', 'No Time for Nuts']","['The Departed', 'Babel', 'Letters from Iwo Jima', 'The Queen', 'United 93']",,"['The Blood of Yingzhou District', 'Recycled Life', 'Rehearsing a Dream', 'Two Hands']","[""Pan's Labyrinth"", 'The Black Dahlia', 'Children of Men', 'The Illusionist', 'The Prestige']","['Little Miss Sunshine', 'Little Children', 'Blood Diamond', 'Dreamgirls', 'The Departed']",,,"['The Queen', 'Volver', 'Notes on a Scandal', 'The Devil Wears Prada', 'Little Children']","['The Departed', 'Babel', 'Blood Diamond', 'Children of Men', 'United 93']",,"['An Inconvenient Truth', 'Dreamgirls', 'Dreamgirls', 'Cars', 'Dreamgirls']",,,,,"['The Last King of Scotland', 'Blood Diamond', 'Half Nelson', 'Venus', 'The Pursuit of Happyness']","[""Pan's Labyrinth"", 'Apocalypto', 'Click']"
"['Taxi to the Dark Side', 'No End in Sight', 'Operation Homecoming: Writing the Wartime Experience', 'Sicko', 'War/Dance']","['Sweeney Todd The Demon Barber of Fleet Street', 'American Gangster', 'Atonement', 'The Golden Compass', 'There Will Be Blood']","['The Bourne Ultimatum', 'No Country for Old Men', 'Ratatouille', '3:10 to Yuma', 'Transformers']","['The Counterfeiters', 'Beaufort', 'Katyn', 'Mongol', '12']",,"['Atonement', 'The Kite Runner', 'Michael Clayton', 'Ratatouille', '3:10 to Yuma']",,,"['No Country for Old Men', 'Atonement', 'Away from Her', 'The Diving Bell and the Butterfly', 'There Will Be Blood']",,"['The Golden Compass', ""Pirates of the Caribbean: At World's End"", 'Transformers']","['Michael Clayton', ""I'm Not There"", 'American Gangster', 'Atonement', 'Gone Baby Gone']",,"['No Country for Old Men', 'Atonement', 'Juno', 'Michael Clayton', 'There Will Be Blood']","['The Bourne Ultimatum', 'No Country for Old Men', 'Ratatouille', 'There Will Be Blood', 'Transformers']","['Juno', 'Lars and the Real Girl', 'Michael Clayton', 'Ratatouille', 'The Savages']","['Le Mozart des Pickpockets (The Mozart of Pickpockets)', 'At Night', 'Il Supplente (The Substitute)', 'Tanghi Argentini', 'The Tonto Woman']","['Ratatouille', 'Persepolis', ""Surf's Up""]","['Elizabeth: The Golden Age', 'Across the Universe', 'Atonement', 'La Vie en Rose', 'Sweeney Todd The Demon Barber of Fleet Street']","['Peter & the Wolf', 'I Met the Walrus', 'Madame Tutli-Putli', '', 'My Love (Moya Lyubov)']","['No Country for Old Men', 'The Diving Bell and the Butterfly', 'Juno', 'Michael Clayton', 'There Will Be Blood']",,"['Freeheld', 'La Corona (The Crown)', 'Salim Baba', ""Sari's Mother""]","['There Will Be Blood', 'The Assassination of Jesse James by the Coward Robert Ford', 'Atonement', 'The Diving Bell and the Butterfly', 'No Country for Old Men']","['No Country for Old Men', 'The Assassination of Jesse James by the Coward Robert Ford', ""Charlie Wilson's War"", 'Into the Wild', 'Michael Clayton']",,,"['La Vie en Rose', 'Elizabeth: The Golden Age', 'Away from Her', 'The Savages', 'Juno']","['The Bourne Ultimatum', 'The Diving Bell and the Butterfly', 'Into the Wild', 'No Country for Old Men', 'There Will Be Blood']",,"['Once', 'Enchanted', 'August Rush', 'Enchanted', 'Enchanted']",,,,,"['There Will Be Blood', 'Michael Clayton', 'Sweeney Todd The Demon Barber of Fleet Street', 'In the Valley of Elah', 'Eastern Promises']","['La Vie en Rose', 'Norbit', ""Pirates of the Caribbean: At World's End""]"
"['Man on Wire', 'The Betrayal (Nerakhoon)', 'Encounters at the End of the World', 'The Garden', 'Trouble the Water']","['The Curious Case of Benjamin Button', 'Changeling', 'The Dark Knight', 'The Duchess', 'Revolutionary Road']","['Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'The Dark Knight', 'WALL-E', 'Wanted']","['Departures', 'The Baader Meinhof Complex', 'The Class', 'Revanche', 'Waltz with Bashir']",,"['Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'Defiance', 'Milk', 'WALL-E']",,,"['Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'Doubt', 'Frost/Nixon', 'The Reader']",[''],"['The Curious Case of Benjamin Button', 'The Dark Knight', 'Iron Man']","['Vicky Cristina Barcelona', 'Doubt', 'Doubt', 'The Curious Case of Benjamin Button', 'The Wrestler']",,"['Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'Frost/Nixon', 'Milk', 'The Reader']","['The Dark Knight', 'Iron Man', 'Slumdog Millionaire', 'WALL-E', 'Wanted']","['Milk', 'Frozen River', 'Happy-Go-Lucky', 'In Bruges', 'WALL-E']","['Spielzeugland (Toyland)', 'Auf der Strecke (On the Line)', 'Manon on the Asphalt', 'New Boy', 'The Pig']","['WALL-E', 'Bolt', 'Kung Fu Panda']","['The Duchess', 'Australia', 'The Curious Case of Benjamin Button', 'Milk', 'Revolutionary Road']","['La Maison en Petits Cubes', 'Lavatory - Lovestory', 'Oktapodi', 'Presto', 'This Way Up']","['Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'Frost/Nixon', 'Milk', 'The Reader']",,"['Smile Pinki', 'The Conscience of Nhem En', 'The Final Inch', 'The Witness - From the Balcony of Room 306']","['Slumdog Millionaire', 'Changeling', 'The Curious Case of Benjamin Button', 'The Dark Knight', 'The Reader']","['The Dark Knight', 'Milk', 'Tropic Thunder', 'Doubt', 'Revolutionary Road']",,,"['The Reader', 'Rachel Getting Married', 'Changeling', 'Frozen River', 'Doubt']","['Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'The Dark Knight', 'Frost/Nixon', 'Milk']",,"['Slumdog Millionaire', 'WALL-E', 'Slumdog Millionaire']",,,,,"['Milk', 'The Visitor', 'Frost/Nixon', 'The Curious Case of Benjamin Button', 'The Wrestler']","['The Curious Case of Benjamin Button', 'The Dark Knight', 'Hellboy II: The Golden Army']"
